# Program:featureCounts v2.0.0; Command:"featureCounts" "-g" "gene_id" "-a" "gen_ann.gtf" "-o" "feature_counts_fr4" "/content/out816.bam" "/content/out817.bam" "/content/out818.bam" "/content/out819.bam" 
Geneid	/content/out816.bam	/content/out817.bam	/content/out818.bam	/content/out819.bam
gene-YBR042C	23	55	31	135
gene-YBR043C	893	519	116	408
gene-YBR044C	215	243	37	135
gene-YNCB0011C	0	1	0	0
gene-YBR045C	523	244	14	48
gene-YBR046C	3730	3652	73	321
gene-YBR047W	420	811	25	116
gene-YBR048W	1186	2243	1899	7484
gene-YBR049C	440	702	79	267
gene-YBR050C	4894	2765	58	106
gene-YBR052C	507	1191	11	109
gene-YBR053C	2586	2802	36	132
gene-YBR054W	11389	5490	797	2892
gene-YBR055C	111	177	132	380
gene-YNCB0012W	0	0	1	0
gene-YBR056W	3725	3224	50	162
gene-YNCB0013W	0	0	0	0
gene-YBR056W-A	1348	796	25	96
gene-YBR057C	790	652	137	388
gene-YBR058C	1343	1060	120	426
gene-YBR058C-A	570	702	113	361
gene-YBR059C	2132	1682	54	215
gene-YBR060C	136	271	96	335
gene-YBR061C	123	161	297	927
gene-YBR062C	901	952	60	225
gene-YBR063C	123	109	169	688
gene-YBR065C	187	125	138	404
gene-YBR066C	138	389	28	108
gene-YBR067C	32264	12351	420	692
gene-YBR068C	6454	2300	1718	3645
gene-YBR069C	8	4	5	11
gene-YNCB0014W	13	6	16	29
gene-YBR070C	121	377	3	20
gene-YBR071W	1055	1439	19	90
gene-YBR072W	125372	91785	1445	3273
gene-YBR072C-A	2	1	0	4
gene-YBR073W	30	58	9	16
gene-YBR074W	169	236	155	488
gene-YBR076W	286	148	3	16
gene-YBR077C	707	646	69	202
gene-YBR078W	3668	8472	570	2267
gene-YBR079C	1091	1813	898	2642
gene-YBR080C	212	500	117	357
gene-YBR081C	531	761	77	316
gene-YNCB0015W	0	0	0	0
gene-YNCB0016W	0	0	0	0
gene-YBR082C	1183	4421	710	2359
gene-YBR083W	379	250	36	101
gene-YBR084W	117	623	441	1526
gene-YBR084C-A	2767	4181	2506	10294
gene-YBR085W	2	6	8	16
gene-YBR085C-A	15941	12861	378	1137
gene-YBR086C	987	1035	109	409
gene-YBR087W	78	406	27	142
gene-YBR088C	41	449	9	76
gene-YBR089C-A	1023	1204	18	69
gene-YBR090C	39	32	1	4
gene-YBR091C	30	58	26	125
gene-YBR092C	75	221	19	79
gene-YBR093C	192	187	17	42
gene-YBR094W	246	265	30	106
gene-YBR095C	315	478	84	320
gene-YBR096W	51	169	50	280
gene-YBR097W	292	286	11	60
gene-YBR098W	122	164	20	65
gene-YBR101C	6509	16391	195	945
gene-YBR102C	238	321	48	182
gene-YBR103W	467	579	55	195
gene-YBR104W	236	218	122	569
gene-YBR105C	238	280	1727	4527
gene-YBR106W	285	1421	845	3167
gene-YBR107C	57	74	32	143
gene-YBR108W	602	575	51	155
gene-YBR109C	2912	3302	274	1148
gene-YBR110W	259	437	47	161
gene-YBR111C	1341	1613	68	302
gene-YBR111W-A	219	273	62	214
gene-YBR112C	172	326	121	465
gene-YBR114W	170	154	388	1097
gene-YBR115C	674	701	181	604
gene-YBR117C	2039	1128	61	190
gene-YBR118W	73431	184171	45244	163651
gene-YBR119W	510	550	125	456
gene-YBR120C	360	511	35	131
gene-YBR121C	1577	3612	1024	3127
gene-YBR122C	284	937	92	399
gene-YBR123C	329	384	44	162
gene-YBR125C	450	398	36	162
gene-YBR126C	6107	5627	99	265
gene-YBR126W-A	906	1274	87	320
gene-YBR127C	7134	6298	776	2702
gene-YBR128C	312	263	4	36
gene-YBR129C	733	435	64	241
gene-YBR130C	90	241	72	344
gene-YBR131W	22	43	48	156
gene-YBR132C	641	551	8	39
gene-YBR133C	139	178	66	291
gene-YBR135W	206	303	76	336
gene-YBR136W	150	159	23	62
gene-YBR137W	732	1144	20	146
gene-YBR138C	306	302	7	21
gene-YBR139W	3304	2376	39	87
gene-YBR140C	1694	1203	56	200
gene-YBR141C	68	119	137	363
gene-YBR142W	190	242	449	1273
gene-YBR143C	1008	1996	1310	4192
gene-YBR144C	5	0	0	2
gene-YBR145W	526	1239	16	67
gene-YBR146W	252	1047	86	365
gene-YBR147W	421	360	7	24
gene-YBR148W	37	35	1	11
gene-YBR149W	7847	7468	104	351
gene-YBR150C	598	414	43	100
gene-YBR151W	1342	1691	81	312
gene-YBR152W	96	95	66	156
gene-YBR153W	100	167	83	287
gene-YBR154C	251	557	593	2310
gene-YBR155W	70	91	300	920
gene-YBR156C	82	207	30	88
gene-YBR157C	11	22	1	12
gene-YBR158W	111	202	14	82
gene-YBR159W	303	609	75	410
gene-YBR160W	155	418	162	598
gene-YBR161W	53	49	78	459
gene-YBR162C	829	1711	248	1370
gene-YBR162W-A	319	420	123	571
gene-YBR163W	67	64	93	350
gene-YBR164C	172	298	124	556
gene-YBR165W	532	389	99	342
gene-YBR166C	155	247	72	418
gene-YBR167C	304	224	80	266
gene-YBR168W	152	85	29	124
gene-YBR169C	12258	13933	155	468
gene-YBR170C	366	515	83	245
gene-YBR171W	136	238	150	686
gene-YBR172C	939	1161	337	1210
gene-YBR173C	3022	2901	158	671
gene-YBR175W	12	9	48	230
gene-YBR176W	78	185	38	212
gene-YBR177C	8442	9573	306	979
gene-YBR179C	1262	847	110	291
gene-YBR180W	46	35	18	32
gene-YBR181C	688	2071	1891	7082
gene-YBR182C	58	60	49	165
gene-YBR182C-A	0	2	2	11
gene-YBR183W	124	99	88	317
gene-YBR184W	16	33	5	20
gene-YBR185C	53	402	38	165
gene-YBR186W	60	56	21	54
gene-YBR187W	41	131	506	1907
gene-YBR188C	209	262	38	141
gene-YBR189W	650	2988	3731	14251
gene-YBR191W	983	3275	2794	11044
gene-YBR192W	76	109	105	459
gene-YBR193C	549	482	52	232
gene-YBR194W	56	82	14	88
gene-YBR195C	18	18	132	452
gene-YBR196C	15502	8663	1348	4150
gene-YBR196C-A	7	2	0	9
gene-YBR196C-B	9	10	3	8
gene-YBR197C	182	90	40	94
gene-YBR198C	368	473	243	741
gene-YBR199W	1460	1648	173	566
gene-YBR200W	383	390	103	315
gene-YBR200W-A	13	7	1	0
gene-YBR201W	124	272	2	25
gene-YBR201C-A	184	66	5	7
gene-YBR202W	272	431	39	135
gene-YBR203W	581	492	44	51
gene-YBR204C	1101	680	15	73
gene-YBR205W	415	690	59	218
gene-YBR207W	1023	1546	103	282
gene-YBR208C	491	665	32	66
gene-YBR209W	160	103	12	24
gene-YNCB0017C	0	0	0	0
gene-YNCB0018W	0	0	0	1
gene-YBR210W	302	209	44	193
gene-YBR211C	73	68	37	113
gene-YBR212W	3599	1240	100	239
gene-YBR213W	66	62	30	89
gene-YBR214W	5296	4600	60	155
gene-YBR215W	350	407	88	300
gene-YBR216C	210	446	37	158
gene-YBR217W	165	139	32	103
gene-YBR218C	1492	1995	273	868
gene-YBR219C	0	0	0	1
gene-YBR220C	125	171	54	167
gene-YBR221C	4935	5235	136	657
gene-YBR221W-A	25	90	1	8
gene-YBR222C	2416	6591	193	781
gene-YBR223C	249	162	12	37
gene-YBR225W	650	355	30	132
gene-YBR227C	128	302	46	241
gene-YBR228W	216	284	45	164
gene-YBR229C	209	244	45	147
gene-YBR230C	7355	7066	156	451
gene-YBR230W-A	442	297	6	16
gene-YNCB0019C	224	175	15	63
gene-YBR231C	114	97	74	249
gene-YBR233W	14	39	10	81
gene-YBR233W-A	36	45	33	76
gene-YBR234C	1404	2430	74	432
gene-YBR235W	564	330	55	197
gene-YBR236C	315	495	68	312
gene-YBR237W	617	512	107	375
gene-YBR238C	5	31	145	498
gene-YBR239C	71	85	93	281
gene-YBR240C	47	64	15	30
gene-YBR241C	2403	1124	37	126
gene-YBR242W	474	323	205	765
gene-YBR243C	92	225	28	151
gene-YBR244W	35	52	44	108
gene-YBR245C	215	471	84	298
gene-YBR246W	233	386	69	364
gene-YBR247C	162	209	570	1782
gene-YBR248C	68	121	187	508
gene-YBR249C	490	1108	496	1525
gene-YBR250W	23	17	2	9
gene-YBR251W	179	336	56	175
gene-YBR252W	9	111	31	151
gene-YBR253W	204	321	75	265
gene-YBR254C	29	69	36	143
gene-YBR255W	521	600	27	147
gene-YBR255C-A	649	454	28	84
gene-YBR256C	849	941	123	536
gene-YBR257W	180	175	98	330
gene-YBR258C	46	78	11	51
gene-YBR259W	102	111	48	190
gene-YBR260C	272	325	54	210
gene-YBR261C	63	199	115	479
gene-YBR262C	413	960	56	230
gene-YBR263W	1694	1827	258	957
gene-YBR264C	220	242	36	146
gene-YBR265W	781	861	179	601
gene-YBR267W	94	101	372	1137
gene-YBR266C	0	0	0	0
gene-YBR268W	172	263	29	107
gene-YBR269C	4460	2729	78	188
gene-YBR270C	195	120	66	202
gene-YBR271W	138	116	154	509
gene-YBR272C	564	406	38	127
gene-YBR273C	1513	1462	63	261
gene-YBR274W	411	404	53	190
gene-YBR275C	120	391	13	62
gene-YBR276C	645	651	99	345
gene-YBR278W	221	389	18	85
gene-YBR279W	782	931	217	780
gene-YBR280C	2800	1333	37	92
gene-YBR281C	151	166	102	301
gene-YBR282W	209	287	58	209
gene-YBR283C	762	931	373	1575
gene-YBR284W	61	51	7	32
gene-YBR285W	181	212	7	11
gene-YBR286W	9235	8865	301	1200
gene-YBR287W	5218	3042	256	726
gene-YBR288C	70	210	61	248
gene-YBR289W	308	403	33	156
gene-YBR290W	1654	1120	166	642
gene-YBR291C	63	72	83	263
gene-YBR292C	14	5	1	4
gene-YBR293W	189	150	46	132
gene-YBR294W	135	76	60	151
gene-YBR295W	408	422	37	120
gene-YBR296C	12963	2730	134	168
gene-YBR296C-A	24	9	0	0
gene-YBR297W	795	725	48	163
gene-YBR298C	62456	28026	868	1160
gene-YBR298C-A	3	2	0	0
gene-YBR299W	50138	46829	172	784
gene-YBR301W	25	27	1	3
gene-YBR302C	1830	2052	0	145
gene-YCL075W	0	0	0	0
gene-YCL074W	1	0	0	0
gene-YCL073C	0	1	0	0
gene-YCL069W	0	0	0	0
gene-YCL068C	0	0	0	0
gene-YCL067C	0	0	0	0
gene-YCL066W	0	0	0	0
gene-YCL064C	3810	5367	50	207
gene-YCL063W	82	189	36	182
gene-YCL061C	112	383	5	27
gene-YCL059C	288	418	476	1589
gene-YCL058C	64	134	12	46
gene-YCL058W-A	0	0	0	0
gene-YCL057C-A	1132	2079	154	468
gene-YCL057W	484	974	39	188
gene-YCL056C	506	381	30	114
gene-YCL055W	207	372	26	139
gene-YCL054W-A	2	6	1	1
gene-YCL054W	131	160	654	1874
gene-YCL052C	2003	1954	84	299
gene-YCL051W	529	576	80	312
gene-YCL050C	994	1598	209	734
gene-YCL049C	485	802	146	344
gene-YCL048W-A	49	18	2	0
gene-YCL048W	60	42	2	6
gene-YCL047C	23	47	47	227
gene-YCL045C	400	511	179	624
gene-YCL044C	222	429	66	252
gene-YCL043C	3498	5946	272	1172
gene-YCL042W	9	12	1	4
gene-YCL040W	16408	18250	211	708
gene-YCL039W	597	397	28	109
gene-YCL038C	641	290	16	71
gene-YCL037C	18	21	25	73
gene-YCL036W	35	76	304	1051
gene-YCL035C	7392	8232	193	794
gene-YCL034W	1500	1706	74	404
gene-YCL033C	943	997	15	78
gene-YCL032W	605	690	43	188
gene-YCL031C	610	508	455	1737
gene-YCL030C	672	1295	346	1165
gene-YCL029C	119	252	68	221
gene-YCL028W	1606	1694	119	396
gene-YCL027W	52	54	6	26
gene-YCL026C-B	23	133	146	480
gene-YCL026C-A	26	27	38	88
gene-YCL025C	3450	5375	1548	3758
gene-YCL024W	31	104	11	9
gene-YNCC0001C	0	0	0	0
gene-YCL021W-A	5	9	1	4
gene-YCL020W	0	0	0	0
gene-YCL019W	0	0	0	0
gene-YNCC0002W	0	0	0	0
gene-YCL018W	487	636	1036	2090
gene-YCL017C	2206	2005	219	659
gene-YCL016C	125	177	30	150
gene-YCL014W	234	284	16	82
gene-YCL012C	965	599	24	105
gene-YCL011C	1212	1439	424	1576
gene-YCL010C	283	271	41	174
gene-YCL009C	2893	2464	255	1029
gene-YCL008C	141	229	20	125
gene-YCL005W-A	536	815	177	723
gene-YNCC0003C	25	67	13	45
gene-YCL005W	93	144	55	234
gene-YCL004W	272	329	20	83
gene-YCL002C	136	199	75	299
gene-YCL001W	196	380	55	270
gene-YCL001W-A	31	12	5	9
gene-YCL001W-B	35	27	5	10
gene-YCR001W	5	10	2	12
gene-YCR002C	544	1223	98	457
gene-YCR003W	21	125	23	98
gene-YCR004C	4054	4028	59	230
gene-YCR005C	21089	6945	265	802
gene-YCR006C	99	46	4	22
gene-YNCC0004C	7	2	3	1
gene-YCR007C	515	290	29	143
gene-YNCC0005W	0	0	0	0
gene-YCR008W	843	1014	326	1198
gene-YCR009C	2478	3441	143	523
gene-YCR010C	12726	2109	96	46
gene-YCR011C	863	955	20	177
gene-YCR012W	71144	89625	2026	8623
gene-YCR014C	146	100	50	188
gene-YCR015C	105	199	32	89
gene-YNCC0006C	111	244	19	73
gene-YNCC0007C	0	0	0	0
gene-YCR016W	68	170	289	1128
gene-YCR017C	1034	1030	149	468
gene-YCR018C	9	10	6	55
gene-YNCC0008W	0	0	0	1
gene-YNCC0009C	0	0	0	1
gene-YCR019W	147	247	64	201
gene-YCR020C	107	126	24	142
gene-YCR020C-A	152	154	29	110
gene-YCR020W-B	72	138	76	311
gene-YCR021C	195936	187332	1977	5079
gene-YCR022C	1	5	1	5
gene-YCR023C	1854	3036	86	337
gene-YCR024C	76	123	42	106
gene-YCR024C-B	1185	1566	723	2594
gene-YCR024C-A	935	1166	571	2116
gene-YCR025C	7	12	4	29
gene-YCR026C	1135	904	196	499
gene-YCR027C	69	192	62	160
gene-YNCC0010C	0	0	0	0
gene-YCR028C	233	248	82	351
gene-YCR028C-A	1966	2610	144	693
gene-YCR030C	1198	1285	52	239
gene-YNCC0011W	1	1	8	19
gene-YCR031C	2075	4009	3049	12194
gene-YNCC0012C	4	28	0	4
gene-YCR032W	477	447	55	196
gene-YCR033W	1303	1502	215	656
gene-YCR034W	102	372	91	380
gene-YCR035C	203	280	310	970
gene-YCR036W	456	541	87	315
gene-YCR037C	1224	1064	131	472
gene-YCR038C	85	96	17	69
gene-YCR039C	0	0	0	0
gene-YCR040W	0	0	0	0
gene-YCR041W	0	0	0	0
gene-YCR042C	308	324	95	332
gene-YCR043C	35	100	82	338
gene-YCR044C	37	83	38	153
gene-YCR045C	48	103	12	70
gene-YCR046C	143	629	37	178
gene-YCR047C	466	486	443	1504
gene-YCR048W	158	102	119	350
gene-YCR050C	1	0	0	1
gene-YCR051W	567	464	210	835
gene-YCR052W	244	382	116	418
gene-YCR053W	645	1079	596	2069
gene-YCR054C	42	48	61	269
gene-YCR057C	123	238	659	2045
gene-YCR059C	334	384	104	281
gene-YCR060W	230	235	34	92
gene-YCR061W	214	210	21	54
gene-YNCC0013W	0	0	0	0
gene-YCR063W	17	19	24	52
gene-YCR065W	19	49	28	147
gene-YCR066W	69	89	26	89
gene-YCR067C	141	234	60	217
gene-YCR068W	975	491	96	177
gene-YCR069W	1971	1331	87	336
gene-YCR071C	326	632	29	147
gene-YCR072C	32	46	447	1559
gene-YCR073C	164	161	69	216
gene-YCR073W-A	1287	1157	53	266
gene-YCR075C	107	199	5	31
gene-YCR075W-A	38	66	6	35
gene-YCR076C	845	639	52	160
gene-YCR077C	756	882	148	487
gene-YCR079W	896	699	58	210
gene-YCR081W	241	235	24	76
gene-YCR082W	837	693	44	204
gene-YCR083W	1874	1021	54	127
gene-YCR084C	1182	1974	469	1692
gene-YCR085W	2	4	0	0
gene-YCR086W	90	179	31	65
gene-YCR087C-A	30	178	276	968
gene-YCR088W	1118	2116	49	223
gene-YCR089W	94	91	9	45
gene-YCR090C	269	429	30	174
gene-YCR091W	1322	1119	15	54
gene-YCR092C	63	91	68	255
gene-YCR093W	1048	1017	120	492
gene-YCR094W	215	318	47	184
gene-YCR095C	396	457	38	157
gene-YCR095W-A	22	19	4	6
gene-YCR096C	1261	1206	155	405
gene-YCR097W	893	705	69	260
gene-YNCC0014W	0	0	0	0
gene-YCR098C	930	976	12	36
gene-YCR099C	17	12	0	2
gene-YCR100C	24	22	0	1
gene-YCR101C	18	7	0	4
gene-YCR102C	253	213	8	8
gene-YCR104W	15	10	1	1
gene-YCR105W	81	66	6	18
gene-YCR106W	103	102	16	43
gene-YCR107W	74	78	5	38
gene-YCR108C	0	0	0	0
gene-YDL248W	233	217	13	55
gene-YDL247W	0	0	0	0
gene-YDL246C	0	0	0	0
gene-YDL245C	4	3	0	0
gene-YDL244W	11	11	0	2
gene-YDL243C	56	41	6	17
gene-YDL242W	12	17	2	7
gene-YDL241W	18	73	13	40
gene-YDL240W	62	106	15	53
gene-YDL239C	283	170	8	26
gene-YDL238C	504	352	7	12
gene-YDL237W	821	961	50	185
gene-YDL236W	242	728	108	460
gene-YDL235C	186	336	167	737
gene-YDL234C	7504	4919	98	283
gene-YDL233W	474	493	36	146
gene-YDL232W	73	250	46	166
gene-YDL231C	1107	895	247	894
gene-YDL230W	158	235	55	223
gene-YDL229W	788	3186	2783	8300
gene-YDL227C	0	3	2	4
gene-YDL226C	83	305	60	365
gene-YDL225W	178	442	117	481
gene-YDL224C	214	210	72	348
gene-YDL223C	14068	1040	104	133
gene-YDL222C	6817	2333	78	107
gene-YDL220C	95	190	15	60
gene-YDL219W	41	214	35	124
gene-YDL218W	37	23	2	29
gene-YDL217C	85	177	55	175
gene-YDL216C	117	151	15	44
gene-YDL215C	7674	5918	114	280
gene-YDL214C	333	239	32	155
gene-YDL213C	168	376	557	1688
gene-YDL212W	501	850	269	1103
gene-YDL211C	1	8	6	15
gene-YNCD0001W	0	0	0	0
gene-YDL210W	56	30	4	12
gene-YDL209C	48	32	95	335
gene-YDL208W	378	566	1177	4406
gene-YDL207W	401	490	107	449
gene-YDL206W	149	104	37	162
gene-YDL205C	83	132	86	292
gene-YDL204W	2880	1329	45	86
gene-YDL203C	268	234	91	291
gene-YDL202W	69	341	50	259
gene-YDL201W	93	156	349	1123
